#{"t_start": 1629205224.2267869, "env_id": null}
r,l,t
-0.777778,3,13.194537
-9.666667,4,13.210302
-9.777778,3,13.210302
0.444444,5,13.225912
-9.777778,3,13.241542
-9.888889,2,13.241542
-9.777778,3,13.241542
-9.777778,3,13.257169
-9.888889,2,13.257169
-9.888889,2,13.272783
-0.777778,3,13.272783
-0.777778,3,13.288504
-0.777778,3,13.288504
-0.777778,3,13.319822
-9.666667,4,13.345426
-0.777778,3,13.354466
-9.777778,3,13.364489
-9.777778,3,13.371923
-0.777778,3,13.376207
-0.777778,3,13.376207
-0.777778,3,13.393016
-9.777778,3,13.393016
-9.777778,3,13.408682
-9.888889,2,13.408682
-9.666667,4,13.424318
-9.777778,3,13.424318
-9.777778,3,13.439931
-0.777778,3,13.439931
-9.666667,4,13.455512
-9.777778,3,13.471187
-9.888889,2,13.471187
-9.666667,4,13.471187
-9.555556,5,13.486799
-9.777778,3,13.502469
-0.666667,4,13.502469
-0.777778,3,13.518046
-9.777778,3,13.518046
-9.888889,2,13.533716
-0.777778,3,13.533716
-0.777778,3,13.549303
-9.777778,3,13.549303
-0.777778,3,13.564922
-9.777778,3,13.564922
-9.777778,3,13.580551
-9.888889,2,13.580551
-0.777778,3,13.580551
-9.777778,3,13.596168
-9.888889,2,13.596168
-9.666667,4,13.611793
-9.666667,4,13.611793
-9.888889,2,13.627371
-9.777778,3,13.627371
-0.777778,3,13.643042
-0.777778,3,13.643042
-9.777778,3,13.658655
-9.555556,5,13.699432
-9.777778,3,13.710439
-0.777778,3,13.720418
-9.888889,2,13.726429
-0.777778,3,13.735374
-0.777778,3,13.74345
-9.777778,3,13.74345
-9.888889,2,13.74345
-0.666667,4,13.76917
-9.777778,3,13.779203
-0.777778,3,13.788788
-9.777778,3,13.797903
-9.777778,3,13.806873
-9.777778,3,13.815794
-0.777778,3,13.825762
-9.777778,3,13.834769
-0.666667,4,13.845778
-9.888889,2,13.850814
-9.888889,2,13.856921
-9.777778,3,13.864927
-9.888889,2,13.870902
-9.666667,4,13.875732
-9.888889,2,13.875732
-0.777778,3,13.891408
-0.777778,3,13.891408
-0.777778,3,13.907028
-9.888889,2,13.907028
-9.888889,2,13.922649
-9.777778,3,13.922649
-9.666667,4,13.938282
-0.777778,3,13.938282
-9.666667,4,13.95389
-9.888889,2,13.95389
-9.888889,2,13.95389
-9.777778,3,13.969516
-0.777778,3,13.969516
-9.777778,3,13.985137
-0.777778,3,13.985137
-9.777778,3,14.00072
-9.666667,4,14.016386
-9.777778,3,14.016386
-9.777778,3,14.032015
-9.888889,2,14.032015
-9.888889,2,14.032015
-9.777778,3,14.079155
-9.888889,2,14.086124
-9.888889,2,14.094128
-9.666667,4,14.106116
-9.777778,3,14.116084
-0.777778,3,14.125051
-9.555556,5,14.13554
-9.888889,2,14.142513
-9.777778,3,14.150552
-9.888889,2,14.155517
-9.888889,2,14.161499
-9.666667,4,14.170452
-9.777778,3,14.176606
-9.888889,2,14.176606
-0.666667,4,14.192232
-0.777778,3,14.192232
-0.777778,3,14.207855
-9.777778,3,14.207855
-9.666667,4,14.223479
-9.777778,3,14.239102
-9.666667,4,14.239102
-9.888889,2,14.258103
-9.777778,3,14.259108
-9.666667,4,14.274736
-0.777778,3,14.274736
-0.777778,3,14.290379
-9.777778,3,14.290379
-9.666667,4,14.305982
-9.888889,2,14.305982
-9.777778,3,14.321605
-9.666667,4,14.321605
-0.777778,3,14.337228
-0.777778,3,14.351673
-0.777778,3,14.362637
-9.777778,3,14.371524
-9.777778,3,14.381444
-9.888889,2,14.387465
-9.666667,4,14.398427
-9.777778,3,14.407483
-9.666667,4,14.418488
-0.777778,3,14.427416
-9.888889,2,14.433486
-0.777778,3,14.469315
-0.777778,3,14.479311
-0.777778,3,14.49221
-9.777778,3,14.502237
-9.777778,3,14.5112
-9.777778,3,14.520166
-9.888889,2,14.527087
-0.777778,3,14.537057
-9.777778,3,14.54706
-0.777778,3,14.557035
-9.666667,4,14.567992
-9.555556,5,14.579945
-9.888889,2,14.586937
-9.777778,3,14.594904
-9.888889,2,14.60091
-9.777778,3,14.610845
-9.777778,3,14.618909
-9.888889,2,14.624844
-0.777778,3,14.633816
-9.777778,3,14.643231
-9.777778,3,14.651206
-0.777778,3,14.658268
-9.777778,3,14.658268
-9.777778,3,14.673934
-9.777778,3,14.673934
-9.666667,4,14.689571
-9.777778,3,14.689571
-0.777778,3,14.705189
-0.666667,4,14.705189
-0.777778,3,14.720803
-0.777778,3,14.736433
-9.555556,5,14.736433
-9.777778,3,14.756396
-9.555556,5,14.766309
-0.777778,3,14.777383
-9.888889,2,14.784424
-9.777778,3,14.792366
-9.888889,2,14.799349
-9.777778,3,14.80828
-0.777778,3,14.820251
-9.555556,5,14.831725
-9.555556,5,14.87052
-9.777778,3,14.881487
-9.888889,2,14.888498
-9.777778,3,14.89851
-9.777778,3,14.908502
-9.777778,3,14.917455
-9.777778,3,14.926418
-9.666667,4,14.937387
-9.555556,5,14.949364
-9.888889,2,14.955323
-9.777778,3,14.966242
-0.777778,3,14.974215
-9.777778,3,14.984229
-9.777778,3,14.993188
-9.888889,2,14.999225
-9.777778,3,15.006247
-0.777778,3,15.015172
-0.777778,3,15.024696
-0.777778,3,15.024696
-0.777778,3,15.040365
-0.777778,3,15.040365
-9.777778,3,15.058892
